appid,name
1200,Red Orchestra: Ostfront 41-45
1510,Uplink
1520,DEFCON
1530,Multiwinia
1900,Earth 2160
2200,Quake III Arena
2270,Wolfenstein 3D
2290,Final DOOM
2300,DOOM II
2320,Quake II
2600,Vampire: The Masquerade - Bloodlines
2700,RollerCoaster Tycoon 3: Platinum
2810,X3: Reunion
2820,X3: Terran Conflict
3170,King's Bounty: Armored Princess
3700,Sniper Elite
3990,Civilization IV: Warlords
4770,Rome: Total War - Alexander
6030,STAR WARS Jedi Knight II - Jedi Outcast
6370,Bloodline Champions
6800,Commandos: Behind Enemy Lines
6810,Commandos: Beyond the Call of Duty
6830,Commandos 2: Men of Courage
6840,Commandos 3: Destination Berlin
6870,Battlestations: Midway
6980,Thief: Deadly Shadows
7510,X-Blades
7520,Two Worlds II HD
7600,Sid Meier's Railroads!
7650,X-COM: Terror From the Deep
7660,X-COM: Apocalypse
7760,X-COM: UFO Defense
7770,X-COM: Enforcer
8000,Tomb Raider: Anniversary
8080,Kane and Lynch: Dead Men
8140,Tomb Raider: Underworld
8600,RACE 07
8800,Civilization IV: Beyond the Sword
9010,Return to Castle Wolfenstein
9050,DOOM 3
9350,Supreme Commander
10150,Prototype
10180,Call of Duty: Modern Warfare 2 (2009)
11450,Overlord
11610,Dragon Nest
12140,Max Payne
12150,Max Payne 2: The Fall of Max Payne
12170,Grand Theft Auto
12180,Grand Theft Auto 2
12710,Overlord: Raising Hell
12830,Operation Flashpoint: Dragon Rising
13140,America's Army 3
13210,Unreal Tournament 3 Black
13230,Unreal Tournament 2004: Editor's Choice Edition
13240,Unreal Tournament: Game of the Year Edition
13520,Far Cry
13560,Tom Clancy's Splinter Cell
15120,Tom Clancy's Rainbow Six Vegas 2
15170,Heroes of Might & Magic V
16450,F.E.A.R. 2: Project Origin
16900,GROUND BRANCH
17080,Tribes: Ascend
17440,SPORE Creepy & Cute Parts Pack
17450,Dragon Age: Origins
17500,Zombie Panic! Source
17740,Empires Mod
18500,Defense Grid: The Awakening
20530,Red Faction
21000,LEGO Batman: The Videogame
21100,F.E.A.R. 3
21130,LEGO Harry Potter: Years 1-4
22100,Mount & Blade
22300,Fallout 3
22490,Fallout: New Vegas
22600,Worms Reloaded
22610,Alien Breed: Impact
22650,Alien Breed 2: Assault
23310,The Last Remnant
24720,SPORE Galactic Adventures
24780,SimCity 4 Deluxe Edition
24790,Command & Conquer 3: Tiberium Wars
24800,Command & Conquer: Red Alert 3 - Uprising
25000,Overgrowth
25890,Hearts of Iron III
26500,Cogs
26900,Crayon Physics Deluxe
28000,Kane & Lynch 2: Dog Days
31290,Back to the Future: The Game
32360,The Secret of Monkey Island: Special Edition
32380,STAR WARS Jedi Knight: Dark Forces II
32400,STAR WARS - Dark Forces
32440,LEGO Star Wars - The Complete Saga
32510,LEGO Star Wars III - The Clone Wars
32800,Lord of the Rings: War in the North
33229,Tom Clancy's Splinter Cell Conviction Deluxe Edition
34010,Alpha Protocol
34830,Sniper: Ghost Warrior
34900,Bad Rats: the Rats' Revenge
35130,Lara Croft and the Guardian of Light
39150,FINAL FANTASY VIII
39190,Dungeon Siege
39200,Dungeon Siege II
39510,Gothic II: Gold Edition
39650,The Guild II
39690,ArcaniA
40300,Risen
40700,Machinarium
42120,Lead and Gold: Gangs of the Wild West
44340,Operation Flashpoint: Red River
45740,Dead Rising 2
45760,Ultra Street Fighter IV
46500,Syberia
46510,Syberia II
47400,Stronghold 3 Gold
48220,Might & Magic: Heroes VI
48240,Anno 2070
58610,Wargame: European Escalation
63710,BIT.TRIP RUNNER
64000,Men of War: Assault Squad
65540,Gothic 1
65780,ARMA: Gold Edition
65790,ARMA: Cold War Assault
70000,Dino D-Day
70300,VVVVVV
70400,Recettear: An Item Shop's Tale
70600,Worms Ultimate Mayhem
71250,Sonic Adventure DX
72200,Universe Sandbox Legacy
78000,Bejeweled 3
91200,Anomaly: Warzone Earth
91330,Iron Front: Digital War Edition
91700,E.Y.E: Divine Cybermancy
94200,Jamestown
94400,Nidhogg
94590,Puzzle Agent 2
95400,ibb & obb
97100,Section 8: Prejudice
98200,Frozen Synapse
99300,Renegade Ops
104200,BEEP
107200,Space Pirates and Zombies
107300,Breath of Death VII
108200,Ticket to Ride
200900,Cave Story+
201230,EverQuest II
202200,Galactic Civilizations II: Ultimate Edition
203750,Binary Domain
204030,Fable - The Lost Chapters
204060,Superbrothers: Sword & Sworcery EP
205710,EverQuest
205910,Tiny and Big: Grandpa's Leftovers
205950,Jet Set Radio
206190,Gunpoint
207170,Legend of Grimrock
207930,Sacred Citadel
208200,DOOM 3
209540,Strike Suit Zero
209650,Call of Duty: Advanced Warfare - Gold Edition
210970,The Witness
211160,Viking: Battle for Asgard
211400,Deadlight
211600,Thief Gold
212200,Mabinogi
212390,Continent of the Ninth Seal
212480,Sonic & All-Stars Racing Transformed Collection
212800,Super Crate Box
213610,Sonic Adventure 2
213650,Dwarfs - F2P
213850,Magic 2014 — Duels of the Planeswalkers
214170,Divine Divinity
214190,Minimum
214770,Guacamelee! Gold Edition
215080,WAKFU
215100,Ragnarok Online
215530,The Incredible Adventures of Van Helsing
215790,Dream Pinball 3D
215830,Closers
215930,Jagged Alliance 2 - Wildfire
217200,Worms Armageddon
217750,Age of Conan: Unchained
217920,Alien Rage - Unlimited
218640,Lucius
218740,Pid
219780,Divinity II: Developer's Cut
219830,King Arthur's Gold
220740,Chaos on Deponia
220860,McPixel
221260,Little Inferno
221680,Rocksmith 2014 Edition - Remastered
222730,Reus
222940,THE KING OF FIGHTERS XIII STEAM EDITION
223100,Homefront: The Revolution
223830,Xenonauts
223850,3DMark
224480,Octodad: Dadliest Catch
224920,Legacy of Kain: Soul Reaver
224960,Tomb Raider I
225320,Tomb Raider III
225420,Cities in Motion 2
225640,Sacred 2 Gold
228300,Remember Me
230190,War for the Overworld
231160,The Swapper
231740,Knights of Pen and Paper +1 Edition
232010,Euro Truck Simulator
232430,Gone Home
232790,Broken Age
232910,TrackMania² Stadium
233840,Worms Clan Wars
233980,UnEpic
234080,Castlevania: Lords of Shadow – Ultimate Edition
234190,Receiver
234330,MARVEL Puzzle Quest
234390,Teleglitch: Die More Edition
234510,Rising Storm Game of the Year Edition
234630,Project CARS
234670,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD
235210,STRIDER / ストライダー飛竜
235340,Prime World
235600,Tom Clancy’s Splinter Cell Blacklist
236150,Starpoint Gemini 2
236690,Blood Bowl 2
237990,The Banner Saga
238210,System Shock 2
238260,Pinball Arcade
239070,Hammerwatch
239430,Q.U.B.E: Director's Cut
239660,Soldier Front 2
240760,Wasteland 2: Director's Cut
241540,State of Decay
241560,The Crew
242880,"Sir, You Are Being Hunted"
243970,"Invisible, Inc."
244050,Rise of Flight United
244090,Sid Meier’s Ace Patrol: Pacific Skies
244160,Homeworld Remastered Collection
246420,Kingdom Rush  - Tower Defense
247000,Talisman: Digital Edition
247020,"Cook, Serve, Delicious!"
247430,Hitman: Contracts
248390,Craft The World
248550,Megabyte Punch
248610,Door Kickers
248860,NEO Scavenger
249050,Dungeon of the ENDLESS
249230,Risen 3 - Titan Lords
249650,Blackguards
249990,FORCED: Slightly Better Edition
250180,METAL SLUG 3
250600,The Plan
250760,Shovel Knight: Treasure Trove
251950,WWII Online
252410,SteamWorld Dig
252530,OMSI 2: Steam Edition
252850,Streamline
253030,Race The Sun
253230,A Hat in Time
253250,Stonehearth
253430,CastleMiner Z
253960,Jack Orlando: Director's Cut
254060,KnightShift
254320,Duskers
255220,GRID Autosport
255520,Viscera Cleanup Detail: Shadow Warrior
